hgnc_symbol	adipose	colon	heart	hypothalamus	kidney	liver	lung	ovary	skeletalmuscle	spleen	testes
ARFGEF1	5.321	3.494	5.71	6.289	10.273	5.213	7.876	5.962	4.135	10.275	15.084
ARFIP1	2.389	1.709	2.087	2.213	3.742	2.508	2.292	2.822	1.097	4.13	3.862
ARFIP2	0.527	0.817	0.809	1.762	1.107	1.398	0.733	0.931	0.276	1.073	1.355
ARG1	0	0.711	0.825	0	0.295	180.588	5.173	0.783	0.2	3.861	0.965
ARHGAP11A	0.843	1.195	0.465	0.196	0.218	0.159	0.91	0.564	0.186	1.501	1.756
ARHGAP12	7.64	6.743	5.684	14.976	9.217	8.711	8.354	15.695	5.48	12.91	9.942
ARHGAP20	3.139	0.457	0.265	3.955	0.129	0.314	0.926	0.593	0.747	0.706	4.52
ARHGAP22	0.735	0.234	0.461	1.723	0.128	0.015	0.175	0.839	0.202	0.268	0.536
ARHGAP24	5.882	0.999	3.528	3.658	11.664	1.062	3.791	1.635	2.014	7.476	1.697
ARHGAP24	4.929	0.742	2.914	3.272	11.532	0.957	3.069	1.323	1.75	6.485	1.337
ARHGAP24	6.792	1.274	4.817	4.642	10.528	1.178	4.786	2.011	2.452	12.921	2.033
ARHGAP25	1.668	1.123	0.664	1.258	0.518	0.835	3.188	1.745	0.451	10.958	0.767
ARHGAP25	1.558	0.942	0.587	1.063	0.425	0.818	2.89	1.591	0.441	9.438	0.639
ARHGAP25	1.601	1.095	0.675	1.232	0.51	0.802	3.088	1.727	0.433	10.679	0.768
ARHGAP28	1.046	0.211	0.163	0.29	1.313	0	0.686	2.781	1.745	3.509	4.723
ARHGAP4	0.858	1.131	0.556	0.315	0.2	0.137	0.573	0.065	0.021	1.89	0.183
ARHGAP4	0.828	1.091	0.536	0.303	0.193	0.132	0.553	0.063	0.02	1.823	0.177
ARHGAP5	5.307	2.295	17.638	13.919	11.369	4.826	7.573	11.809	6.771	10.555	14.492
ARHGAP6	0.67	0.612	0.605	0.576	1.282	0.01	1.403	1.738	0.71	1.139	0.862
ARHGDIB	82.288	19.751	66.949	28.604	22.856	22.056	89.215	14.362	12.472	345.309	19.603
ARHGEF1	0.342	0.9	0.323	0.243	0.256	0.156	0.59	0.093	0.157	1.117	0.232
ARHGEF10L	0.735	1.705	0.73	0.624	1.403	2.01	0.365	0.18	0.826	0.333	0.318
SNORD17	66.468	276.133	41.295	48.601	190.73	21.197	162.195	18.483	23.833	57.646	122.677
ARHGEF19	0.17	0.136	0.092	0	0.147	0.054	0.112	0.101	0.051	0.377	0.072
ARHGEF3	1.268	1.186	2.331	5.989	5.574	0.28	5.565	4.113	1.525	4.377	5.894
ARHGEF6	17.35	1.883	6.859	5.939	1.492	0.746	8.441	6.136	7.077	10.244	2.583
ARHGEF7	3.95	3.187	3.799	6.32	3.419	2.146	2.764	3.539	3.871	6.988	3.903
ARHGEF9	1.55	3.43	6.294	25.57	3.627	0.922	1.41	4.562	0.788	2.53	2.288
ARID3B	0.156	0.649	0.132	0.134	0.293	0.191	0.613	0.063	0.136	0.737	0.902
ARID4A	5.834	1.956	5.623	8.225	4.944	4.057	7.027	7.892	3.132	11.184	6.548
ARID4B	5.58	2.513	6.809	7.65	7.102	3.078	9.674	10.824	5.08	14.244	11.745
ARID5A	0.533	0.187	1.639	0.756	0.286	0.918	1.613	0.148	0.847	1.462	0.54
ARIH1	5.58	4.05	9.053	9.258	5.731	5.354	7.116	10.556	11.117	9.532	11.465
ARL1	5.052	2.38	6.162	8.4	7.207	4.979	3.807	5.131	3.692	3.947	6.051
ARL14	0	0.34	0	0	0.014	0	0	0	0	0.02	0
ARL2BP	10.089	3.527	13.112	12.377	9.986	6.791	7.949	10.842	5.104	14.511	14.965
ARL4A	1.542	0.836	1.515	2.104	0.866	1.262	1.157	1.282	0.798	2.614	3.956
ARL4A	1.54	0.835	1.514	2.102	0.866	1.261	1.156	1.28	0.797	2.612	3.952
ARL4C	0.898	0.43	0.679	2.742	0.569	0.718	2.459	0.388	0.272	7.419	0.352
ARL4D	0.093	0.373	0.165	0.382	0.983	0.383	0.356	0.255	0.014	0.545	0.287
ARL5A	2.156	1.042	5.932	3.746	3.889	3.727	4.431	2.665	3.649	4.394	3.171
ARL5C	0.039	0	0	0	0	0	0	0	0	0	0
ARL6IP4	22.205	17.403	34.696	30.07	21.383	21.763	19.244	27.143	27.334	32.504	20.941
ARL6IP4	20.919	16.396	32.687	28.329	20.145	20.503	18.129	25.572	25.751	30.622	19.729
ARL6IP6	0.392	0.087	0.146	0.34	0.146	0.136	0.269	0.14	0.162	0.542	0.502
ARL6IP6	0.3	0.375	0.186	0.27	0.178	0.086	0.392	0.191	0.229	0.515	0.552
SNORD32B	1.431	0.334	0	0.984	0.722	0.526	1.1	0	0	0.33	1.629
ARMC10	3.399	1.772	5.101	8.267	5.414	5.469	4.331	8.392	2.249	6.587	6.786
ARMC2	0.463	0.279	1.622	1.521	1.125	0.131	1.316	1.435	0.573	1.436	5.132
ARMC8	3.15	1.806	3.228	6.03	3.256	2.254	3.433	3.751	3.892	5.368	3.895
ARMC8	3.411	2.02	4.641	4.993	3.963	2.696	2.676	3.76	6.122	5.865	3.589
ARMCX1	5.509	2.785	9.972	7.212	3.912	0.684	5.23	15.529	6.36	6.393	5.999
ARNTL	2.22	0.911	2.394	2.996	2.328	5.61	2.253	2.165	3.541	3.543	2.631
ARPC2	26.602	12.467	25.813	26.062	17.862	14.717	26.274	14.118	13.791	51.648	17.079
SNORD49B	0	0	0	0	0.386	0	0	0	0	0	0
ARPP19	16.254	7.572	16.45	42.998	15.628	11.011	15.277	15.271	11.727	17.892	20.072
ARR3	0.309	0.177	0.043	0	0.142	0	0.043	0.117	0.136	0.136	0.228
ARRB1	3.749	2.508	1.506	5.329	1.312	0.974	4.703	1.247	0.948	6.395	0.811
ARRB2	8.075	3.886	11.346	9.3	6.184	2.322	21.238	5.146	4.021	43.749	4.2
ARRDC2	3.199	1.446	1.329	2.986	0.83	0.658	3.378	0.479	7.971	3.269	0.776
ARRDC3	16.4	5.971	9.03	10.292	19.562	3.282	33.784	56.512	16.123	21.53	16.93
ARSF	0.018	0	0	0.038	0.599	0.06	0	0	0	0.025	0.008
ARSG	0.225	0.232	0.336	0.766	0.569	0.176	0.5	0.784	0.795	0.752	1.121
ARSK	0.34	0.169	0.697	0.895	0.976	0.836	0.912	0.908	0.239	1.002	0.999
ART1	0	0	0	0	0	0	0	0	0.627	0.058	0
ARTN	0	0.04	0	0.118	0.019	0	0	0.01	0	0.013	0
ARVCF	0.037	0.058	0.065	0.273	0.217	0.071	0.063	0.062	0.105	0.202	0.098
SNORD59B	11.261	29.829	6.214	15.156	17.799	14.045	3.013	7.429	10.971	6.095	4.391
SORBS1	114.78	26.004	68.299	25.675	6.412	14.708	9.128	2.639	40.458	3.871	13.499
ASAP3	0.492	0.796	1.3	1.21	1.184	0.77	0.585	1.607	1.073	0.149	0.703
SOX6	0.267	0.195	0.516	0.753	2.116	0.226	0.177	0.176	1.453	0.119	1.003
SPACA5	0	0.105	0	0	0	0	0	0	0	0	0
ASB14	1.029	0.526	1.268	0.394	0.701	0.166	0.774	1.464	1.807	1.272	0.919
ASB16	0.086	0.565	0.192	0.124	0.399	0.057	0.013	0.162	0.728	0.178	0.103
ASB2	0.08	1.716	1.999	0.111	0.041	0	0.124	0.098	9.619	0.269	0.114
ASB3	0.033	0.012	0	0.188	0	0.018	0.115	0.226	0.161	0.057	0.035
ASB4	0	0	0.025	0.128	0	0	0.019	0	0.316	0	0
ASB6	0.207	0.351	0.307	0.779	0.393	0.132	0.245	0.516	0.231	0.594	0.431
ASB8	2.305	1.899	3.688	3.437	3.91	2.465	1.384	2.75	14.885	3.615	3.427
ASCC1	5.2	2.465	6.286	7.866	4.546	8.04	4.299	4.257	3.256	7.596	10.817
ASCL1	0	0.031	0.008	0.595	0.015	0.033	0	0.015	0	0	0.006
ASF1B	0.17	0.609	0.054	0.044	0.043	0	0.359	0.133	0.026	0.601	1.486
SPATA18	0.299	0.197	0.251	0.414	0.552	0.33	1.274	0.147	0.134	0	3.494
SPATA5	1.236	0.995	1.031	1.271	1.289	0.602	1.145	2.353	1.098	1.906	2.31
ASGR2	0	0.1	0.157	0.049	0.036	26.851	0.147	0.349	0.072	0.379	0.315
ASH2L	3.399	2.079	3.916	6.67	3.796	3.138	2.806	5.349	3.671	4.615	8.946
ASL	0.303	1.872	0.326	0.533	2.322	5.762	0.672	0.326	0.054	0.616	0.19
ASNS	1.244	1.393	3.68	15.215	1.588	1.764	2.255	1.301	1.011	3.526	4.165
ASPDH	0.043	0.152	0	0.849	2.842	1.385	0.033	0.43	0.131	0.21	0
ASPG	0	0.181	0.162	0.021	0.141	0.527	0	0.208	0	0	0
ASPH	78.272	5.397	15.31	14.129	10.826	8.832	13.583	9.59	5.035	10.609	6.099
ASPH	77.787	5.329	15.129	14.031	10.816	8.787	13.553	9.638	4.995	10.56	6.205
ASPH	72.603	4.217	11.81	8.587	8.525	9.204	10.478	9.262	4.287	9.63	5.947
ASPHD1	1.689	3.149	0.631	52.22	2.12	0.329	1.376	1.339	0.06	0.533	4.053
ASPN	3.303	0.709	4.593	0.307	1.082	1.642	1.923	2.164	1.135	0.37	0.998
ASXL1	2.579	2.215	1.606	3.441	2.847	3.186	2.618	4.407	2.082	3.424	2.452
ASXL1	1.69	1.757	1.327	1.852	1.844	1.428	2.007	2.561	1.653	2.519	2.172
ATAD2B	2.421	2.277	2.644	1.953	3.403	1.897	4.209	3.913	2.922	6.02	5.268
ATAD3C	0.105	0.333	0.111	0.147	0.476	0.619	0.198	0.294	0.104	0.072	0.122
ATF3	18.863	2.059	16.668	5.789	5.392	6.105	24.583	6.185	5.097	3.024	5.288
ATF6B	1.692	2.033	1.531	2.051	2.263	1.695	2.743	2.493	0.99	4.211	2.348
ATF7IP2	0.776	0.772	2.358	1.601	0.995	2.264	1.578	1.693	0.192	3.473	7.124
ATG16L2	0.462	0.971	0.148	0.495	0.199	0.17	1.304	0.179	0.135	1.8	0.263
ATG3	21.11	8.489	25.967	28.951	23.169	22.377	18.898	17.604	10.313	39.645	37.349
ATG4A	1.227	0.351	1.804	0.883	1.859	3.599	0.956	0.473	1.056	1.094	0.917
ATG4C	3.236	1.33	2.967	7.539	4.206	4.169	3.533	4.413	1.795	9.297	2.969
ATL2	2.172	2.851	3.968	4.55	5.743	5.889	4.206	8.738	9.248	7.239	5.216
ATN1	4.608	5.567	8.016	8.909	5.318	1.164	5.206	15.115	4.799	7.646	4.433
ATOH1	0	0.435	0	0	0	0	0	0	0	0	0
ATP10B	0.01	2.039	0	0.836	0.01	0	0.037	0.003	0.024	0	0.249
ATP11A	1.097	1.041	4.797	2.217	3.76	2.181	6.278	1.313	0.845	3.177	4.344
ATP11B	2.769	1.525	3.889	1.791	3.513	3.509	4.086	4.58	1.704	7.386	4.137
ATP13A5	0.01	0	0.046	0.342	0	0	0.054	0	0.158	0	0
ATP1A3	0	0.594	9.602	42.254	0.005	0	0.072	0.038	0	0.129	0.857
ATP1B1	19.564	48.587	172.558	398.889	725.101	85.713	60.3	47.637	172.632	31.808	62.567
ATP1B3	6.282	4.51	8.521	9.835	9.776	2.208	12.956	5.226	1.62	9.854	7.651
ATP1B4	0.028	0.013	0.639	0.01	0.024	0	0	0.01	10.658	0.013	0.089
ATP2A2	8.825	10.72	183.81	37.497	9.693	14.027	8.251	7.519	114.381	12.475	13.122
ATP2A2	7.592	7.844	103.798	32.776	11.266	11.529	10.341	10.011	63.147	14.808	15.771
ATP2A3	0.061	2.326	0.14	0.126	0.158	0.076	0.43	0.08	0	1.73	0.088
UBN1	1.905	2.26	1.741	1.674	1.965	2.36	1.541	1.232	1.407	3.613	2.62
ATP2B1	4.35	4.578	6.322	37.783	8.741	3.962	9.979	5.634	8.5	17.599	19.36
ATP2B2	0.012	0.134	0.006	8.194	0.021	1.519	0.003	0.033	0.297	0.043	0.043
ATP2B4	21.656	18.436	24.335	21.159	4.147	5.231	11.086	12.134	1.885	6.703	16.383
ATP2C1	8.207	3.213	10.773	16.026	11.359	7.131	10.614	8.241	4.238	9.693	13.862
ATP4A	0	0	0	0	0.01	0	0	0	0.019	0	0.018
ATP5C1	16.787	15.234	32.325	27.845	24.51	32.769	7.87	8.472	13.175	16.533	11.482
ATP5G2	4.694	4.363	9.785	8.229	6.984	5.729	3.259	5.086	10.314	7.009	3.087
ATP5J	94.134	43.413	332.158	141.427	79.322	177.84	23.672	46.374	103.032	47.257	39.111
ATP5J	64.882	29.922	228.942	97.48	54.673	122.578	16.316	31.963	71.015	32.572	26.958
ATP5J	60.69	27.937	213.793	91.011	51.131	114.506	15.255	29.842	66.303	30.411	25.205
ATP5J2	7.39	5.445	13.6	10.882	14.771	8.578	6.691	2.457	7.739	8.518	12.066
ATP5L2	0.138	0.418	0.117	0.095	0.418	0.101	0	0.265	0	0.254	0.079
ATP5SL	1.987	2.463	3.513	3.205	3.205	4.359	2.354	1.087	1.369	2.053	1.297
ATP5SL	1.854	2.19	3.368	3.134	2.989	4.115	2.216	0.993	1.326	1.962	1.24
ATP5SL	1.767	2.132	3.22	2.987	2.881	4.063	2.112	0.947	1.276	1.87	1.182
ATP6AP1	1.522	1.139	2.167	5.686	4.169	1.39	2.758	1.172	0.932	4.283	2.264
ATP6AP2	14.987	4.724	11.665	22.388	21.073	11.82	16.841	9.635	3.266	17.1	10.714
ATP6V0C	11.49	7.152	23.571	48.359	44.546	15.568	22.662	14.59	18.922	30.064	16.772
ATP6V0D2	1.193	1.606	0.047	0.016	32.779	0	1.287	0.462	0.009	0.204	0.238
ATP6V0E2	0.344	0.251	0.269	3.53	1.077	0.916	0.154	0.15	0.061	0.168	0.183
ATP6V1B2	13.897	4.503	9.97	53.524	25.576	8.411	17.258	5.182	6.78	19.696	13.76
ATP6V1C2	0.102	0.103	0.098	0.082	2.043	0.05	0.166	0.083	0.007	0.125	0.324
ATP6V1E1	49.966	20.414	70.711	181.525	64.042	32.949	35.985	24.752	37.418	49.025	43.896
ATP6V1G2	0.207	0.694	0.246	22.382	0.396	0	0.213	0.362	0.056	0.383	0.492
ATP6V1G3	0	0	0	0.112	7.083	0	0	0	0	0	0.023
ATP6V1H	3.752	1.529	2.996	16.578	8.827	2.484	3.975	2.142	1.622	4.494	3.161
ATP7B	0.195	0.747	0.35	0.264	0.536	1.77	0.23	0.364	0.166	0.097	0.805
ATP8B1	1.452	20.481	5.605	0.749	5.017	7.194	5.569	1.978	1.686	5.099	2.801
SPG11	3.954	2.665	4.861	3.673	5.89	4.031	4.744	4.638	3.664	8.524	5.917
ATP9A	10.677	5.767	3.534	32.146	2.95	1.887	2.415	4.945	2.415	1.759	8.718
SPG11	3.843	2.602	4.665	3.537	5.666	3.881	4.551	4.475	3.546	8.201	5.692
ATPIF1	47.938	95.93	147.296	223.743	107.869	70.341	36.498	30.004	69.542	45.103	66.239
ATPIF1	44.028	89.383	134.729	207.985	101.13	68.933	34.802	28.485	64.17	42.155	61.012
ATR	2.586	0.807	1.817	2.64	2.798	2.072	1.859	2.156	0.989	4.549	3.921
ATXN1	1.599	2.305	2.395	6.116	2.121	1.381	2.662	3.172	3.523	3.442	2.499
ATXN2L	3.506	5.653	7.494	8.391	8.073	4.226	12.879	10.4	6.435	15.92	18.903
ATXN2L	3.485	5.66	7.606	8.43	8.216	4.2	13.041	10.419	6.491	16.025	19.029
ATXN2L	3.302	5.348	7.207	7.995	7.792	3.979	12.402	9.855	6.134	15.163	17.998
ATXN3	1.304	0.568	1.368	1.417	1.439	0.473	1.515	2.683	0.793	2.628	2.351
ATXN3	1.851	0.731	1.806	2.099	1.804	0.635	1.888	3.565	0.896	3.141	3.241
ATXN3	1.848	0.741	1.794	2.095	1.812	0.634	1.913	3.575	0.904	3.187	3.319
ATXN3	2.461	0.882	2.336	3.013	2.146	0.76	2.476	4.416	1.141	3.781	4.033
ATXN3L	0	0	0	0.043	0	0	0	0.022	0	0.029	2.188
ATXN7	1.205	1.246	1.592	1.096	1.968	1.155	2.31	2.162	1.844	3.409	1.702
ATXN7	1.193	1.234	1.577	1.091	1.95	1.145	2.297	2.142	1.827	3.378	1.686
SPINK5L2	0	0.35	0	0	0	0	0	0	0	0	0
ATXN7L3	1.257	1.753	1.551	5.209	1.569	1.128	1.517	1.011	0.638	2.693	2.182
SYNPR	0	0.187	0.057	17.426	0.036	0	0.011	0	0	0	0.054
AURKAIP1	5.938	6.535	7.301	7.169	6.833	10.385	2.299	1.353	5.407	4.051	4.727
SYT3	0.015	0.031	0.045	2.446	0.06	0	0.023	0.054	0	0	0.184
AVL9	2.122	3.213	1.505	5.894	1.899	2.824	1.849	2.433	1.89	3.583	2.286
AVPR1B	0	0	0	0.043	0.167	0	0	0	0	0	0
AVPR2	0.064	0	0.022	0	0.054	0	0.016	0	0.026	0.044	0
AWAT2	0	0	0.018	0.018	0	0	0	0.009	0	0	0
AZI2	17.915	5.001	12.191	14.658	12.382	12.673	18.627	12.884	6.91	15.149	14.098
AZI2	10.626	2.339	6.624	8.365	7.123	7.883	9.412	7.172	3.889	9.307	7.289
B2M	625.916	337.859	247.256	233.135	221.966	568.786	813.812	132.077	135.232	1291.23	146.27
B3GALNT1	0.501	0.335	5.83	6.877	3.296	0.126	1.49	1.997	0.186	0.819	1.761
B3GALNT1	0.487	0.326	5.663	6.692	3.202	0.122	1.447	1.94	0.181	0.796	1.711
B3GALNT1	0.454	0.297	5.166	6.109	2.918	0.111	1.319	1.784	0.165	0.725	1.559
B3GALNT2	0.778	0.883	1.528	0.634	1.226	0.978	0.598	1.246	2.667	1.205	1.02
B3GALT1	0	0.522	0.026	0.909	0	0	0.026	0.044	0.451	0.082	0.058
B3GALT4	0.61	0.93	0.453	0.247	0.484	0.048	0.503	0.103	0.013	0.874	1.023
B3GALTL	1.368	0.739	3.721	2.275	1.69	1.039	0.865	1.747	0.734	1.754	2.029
SYT3	0.013	0.185	0.038	2.432	0.064	0	0.029	0.059	0	0.026	0.258
B3GNT1	1.206	1.528	3.872	18.542	2.615	1.311	1.555	2.543	1.644	0.969	1.553
B3GNT3	0	1.929	0	0	1.084	0.194	0.156	0.014	0	0	0.063
B3GNT5	2.975	2.75	1.293	2.104	1.421	0.255	6.165	2.213	1.624	2.384	1.734
B3GNT8	0.059	0.151	0.04	0.081	0.049	0	0.06	0.062	0.036	0.217	0.008
SYTL2	2.378	5.425	2.358	9.142	7.044	0.598	4.055	1.761	1.862	2.347	2.976
B4GALNT1	0	0.043	0.031	0.504	0.006	0	0	0.032	0.052	0.017	0.01
B4GALT2	0.35	0.09	0.14	0.646	0.102	0.162	0.17	0.039	0.223	0.165	0.197
B4GALT2	0.283	0.081	0.127	0.583	0.092	0.147	0.153	0.035	0.201	0.149	0.177
B4GALT3	0.641	0.66	0.756	0.836	1.094	0.956	0.884	0.601	0.662	1.629	0.764
B4GALT4	1.065	2.677	2.02	1.245	4.485	1.486	1.41	2.041	0.607	2.026	2.081
SYTL2	2.481	6.659	1.958	7.382	7.563	0.559	4.388	2.075	1.7	2.831	3.256
BACE1	2.858	1.362	2.302	12.093	3.022	3.06	2.234	4.353	2.221	3.132	3.216
BACE1	2.793	1.331	2.25	11.816	2.959	2.99	2.182	4.26	2.17	3.06	3.142
BAG3	5.889	2.843	19.614	10.501	6.835	3.312	5.904	3.044	28.081	2.847	3.852
BAG5	5.781	3.034	5.512	6.889	7.29	3.499	5.608	5.145	4.37	9.014	13.495
BAG5	5.597	2.938	5.329	6.668	7.052	3.383	5.422	4.974	4.225	8.725	13.126
BAGE2	0	0	0	0	0	0	0	0	0	0	0
BAGE5	0	0	0	0	0	0	0	0	0	0	0
BAI1	0.013	0.06	0.017	1.96	0.027	0	0.041	0.038	0	0.064	0.048
BAIAP2	0.438	0.821	0.311	2.102	1.93	2.792	2.132	0.321	0.153	0.705	0.954
BANF1	4.128	3.878	3.953	4.087	3.491	3.962	2.117	2.336	3.13	3.876	2.38
BASE	0	0	0	0	0	0	0	0	0	0	0
BASP1	1.165	0.959	2.147	19.904	0.702	0.767	4.841	3.282	0.161	13.058	0.864
SYTL2	2.843	9.179	1.901	7.844	7.824	0.692	4.777	2.445	1.748	3.077	3.419
SYTL2	1.483	4.592	1.372	6.631	5.979	0.358	3.083	1.237	1.067	1.661	2.302
TAS2R38	0	0.045	0	0	0.032	0	0.148	0	0	0	0
TAS2R42	0	0	0.039	0	0.098	0	0.209	0.081	0.024	0.188	0
TBC1D3F	0.052	0.194	0.018	0.089	0.245	0.019	0.053	0.118	0.042	0.204	0.111
BAX	1.451	1.46	2.002	1.637	3.044	2.551	3.87	2.277	0.906	8.308	1.452
BAZ2A	3.346	4.671	2.738	2.782	3.844	1.832	5.589	3.265	2.407	7.424	7.186
BBC3	0.402	0.704	0.357	1.141	0.203	0.111	1.175	0.536	2.532	1.307	0.481
BBS12	0.543	0.23	1.149	2.394	1.795	0.262	0.618	1.119	0.158	1.025	1.518
BBS7	2.133	1.195	1.647	7.564	2.324	0.624	2.319	3.877	1.442	3.135	3.838
BBS9	1.874	1.273	3.003	2.954	2.73	0.727	3.079	6.268	1.437	2.84	4.698
BBX	6.943	2.173	9.85	9.961	11.763	2.857	8.737	15.5	4.485	14.416	41.723
BCAP29	7.8	1.931	18.204	12.329	4.556	7.153	7.189	6.008	6.093	7.765	14.295
BCAP29	7.675	1.897	17.883	12.124	4.485	7.047	7.081	5.905	5.989	7.628	14.043
BCAP31	48.951	13.183	12.474	21.486	29.152	19.502	17.826	7.574	4.623	21.193	20.017
BCAR4	0	0	0	0	0	0	0	0.015	0	0	0.024
BCAT2	0.045	0.347	0.411	0.209	0.739	0.149	0.606	0.389	0.355	0.483	0.288
BCKDHA	0.559	0.551	1.02	1.304	0.868	1.302	0.382	0.477	1.367	0.773	0.61
BCKDK	0.459	0.358	0.779	0.655	0.481	0.779	0.421	0.24	0.62	0.464	0.317
BCL11A	0	1.439	0.743	5.608	0.181	0.017	0.539	0.253	0.009	4.932	0.093
BCL11B	0.048	0.21	0.064	0.997	0.076	0.027	0.446	0.058	0.015	0.792	0.068
BCL2	5.42	4.179	1.608	2.325	2.983	0.437	1.756	4.19	2.268	8.275	2.653
BCL2L1	3.548	3.429	4.185	6.731	8.136	5.06	7.246	1.719	3.294	5.722	3.911
BCL2L11	1.045	1.234	0.853	0.578	1.73	1.804	1.642	2.406	2.346	6.019	1.795
BCL2L11	1.008	1.19	0.841	0.557	1.698	1.764	1.612	2.332	2.29	5.812	1.735
BCL2L13	9.963	4.723	13.916	12.014	15.455	7.922	5.649	5.259	19	8.897	9.162
BCL2L14	0.036	2.209	0.064	0.093	0.1	0.04	0.166	0.019	0.011	0.237	1.624
BCL7C	0.171	0.48	0.478	0.088	0.648	0.189	0.296	0.224	0.078	0.503	0.055
BCL9	0.661	1.536	1.188	2.373	2.13	0.336	0.756	3.025	1.074	1.23	1.939
BCO2	0.276	0.211	5.992	0.637	0.338	3.085	0.465	0.666	1.264	0.409	0.69
BCO2	0.252	0.15	5.78	0.599	0.287	2.952	0.437	0.621	1.215	0.375	0.604
BCOR	1.063	1.954	2.177	1.563	2.234	1.098	1.988	3.201	3.331	2.799	3.074
BCR	0.794	0.556	0.672	1.69	1.312	0.811	0.835	0.39	0.147	0.74	1.807
BCYRN1	0.253	0	0	0.261	0.128	0	0	0.133	0	0	0
BDNF	0.204	0.048	4.189	2.661	0.177	0.021	0.689	0.677	0.259	0.121	0.349
BDNF	0.201	0.047	4.131	2.624	0.174	0.021	0.679	0.668	0.256	0.119	0.344
BDNF	0.197	0.046	4.037	2.564	0.17	0.021	0.664	0.653	0.25	0.117	0.336
BDNF	0.178	0.041	3.644	2.358	0.154	0.019	0.599	0.589	0.226	0.105	0.304
BDNF	0.187	0.051	3.513	2.221	0.217	0.027	0.6	0.603	0.216	0.118	0.295
BECN1	6.066	5.004	7.412	6.807	7.155	6.39	3.901	3.398	5.936	7.288	5.496
BEST2	0.058	1.414	0.039	0	0.049	0	0	0.111	0	0.027	0.115
BEST3	0.026	0	0.078	0.184	0.045	0	0	0	6.027	0.018	0.354
TBX10	0	0	0	0	0.024	0	0.055	0	0	0.066	0.122
BGLAP	0.069	0.096	0.803	0.497	0.382	0.076	0.053	0.576	0.25	0.238	0.352
BHLHA9	0	0	0	0	0	0	0	0	0	0	0
BHLHB9	0.364	0.402	0.633	5.036	0.938	0.211	0.399	1.239	0.309	0.68	1.446
BHLHE40	6.625	2.137	4.273	7.635	10.83	12.106	8.766	4.949	23.038	4.673	5.581
BICD2	2.136	0.778	2.83	1.786	1.752	0.657	1.979	1.525	1.75	3.333	1.98
BID	0.885	0.351	0.704	1.431	0.599	1.954	0.373	0.481	0.536	1.687	0.442
BID	0.782	0.31	0.621	1.263	0.529	1.725	0.329	0.424	0.473	1.489	0.39
BIK	0	0.325	0.137	0	0.078	0	0.059	0.081	0.047	0.08	0.215
BIN1	3.621	1.989	0.892	21.335	6.855	1.292	1.229	1.885	45.057	4.05	0.849
BIN1	3.304	1.815	0.814	19.471	6.273	1.179	1.121	1.72	41.122	3.697	0.775
BIN1	3.174	1.743	0.782	18.752	6.049	1.133	1.077	1.653	39.501	3.551	0.744
BIN1	3.006	1.651	0.756	17.759	5.781	1.073	1.02	1.565	37.409	3.363	0.711
TCEB3CL	0	0	0	0	0	0	0	0	0	0	0
BIRC2	10.154	4.562	12.103	10.75	12.24	9.904	13.552	13.243	8.092	16.446	18.82
BIRC3	2.49	4.114	6.6	2.03	4.036	0.774	17.006	1.404	1.791	40.113	5.511
BIRC3	1.735	2.375	4.749	1.312	2.805	0.62	12.558	0.874	1.093	27.74	3.764
BIRC5	0.161	0.338	0.126	0	0.015	0	0.36	0.092	0.044	0.243	0.381
BIRC6	5.175	3.844	6.295	6.496	7.725	6.365	6.474	9.265	6.08	13.592	9.591
BLCAP	12.908	7.709	13.522	31.599	13.422	10.359	6.19	10.992	48.971	10.023	8.005
BLID	0.043	0	0.67	0.264	0.602	0	0.197	2.229	0	0	0.6
BLK	0	0.407	0.014	0	0.021	0.078	0.076	0.007	0	2.716	0
BLNK	1.37	2.736	0.317	1.226	3.356	4.511	0.682	0.39	0.232	10.002	0.714
BLOC1S3	0.381	0.247	0.208	0.612	0.349	0.358	0.206	0.377	0.239	0.674	0.344
BLZF1	3.377	1.177	4.749	3.566	4.603	2.764	2.341	3.609	2.9	5.044	8.477
BMF	0.619	0.973	0.336	0.112	0.503	0.102	1.158	1.024	0.436	2.013	0.293
BMI1	7.877	3.461	10.492	11.443	8.085	9.839	9.085	11.244	11.038	17.604	17.287
BMP5	0.389	1.469	0.558	0.855	0.41	0.317	2.381	0	0.44	0	0.007
BMP8A	0.033	0.183	0.103	0.37	0.099	0.022	0.03	0.444	0.083	0.199	0.36
BMPER	0.897	0.257	0.686	1.126	0.093	0.87	0.84	0.577	0.543	0.09	0.332
TCP10L2	0	0	0	0	0.034	0	0	0	0	0	0.057
BOLA1	2.96	1.863	1.938	4.471	2.123	2.508	1.947	2.334	1.039	1.988	1.136
BOLL	0	0	0	0	0.007	0	0.01	0.007	0.337	0	2.328
BPGM	2.113	1.076	1.853	4.991	3.192	1.715	1.652	1.005	0.941	1.884	1.984
BPY2	0	0	0	0	0	0	0	0	0	0	0
BRAP	3.165	2.676	3.834	6.127	3.215	2.717	2.764	5.512	4.667	4.888	11.569
BRCA1	1.961	3.91	1.39	1.012	0.51	5.495	1.382	0.945	0.753	1.994	4.553
BRCA1	1.72	7.599	1.3	1.007	0.493	2.946	1.065	0.954	0.791	1.768	4.211
BRCA1	1.647	7.401	1.28	0.99	0.502	2.887	1.022	0.922	0.774	1.736	4.121
BRCA2	0.268	1.037	0.19	0.083	0.109	0.1	0.36	0.42	0.078	0.863	1.511
