Gene	Module	kME
SLC17A3	P1_I2_M13	0.99
SLC17A1	P1_I2_M13	0.99
XPO5	P1_I2_M2	0.88
ABCC10	P1_I2_M1	0.83
NQO2	P1_I2_M13	0.88
RP11-298J23.10	P1_I2_M1	0.98
UNC5CL	P1_I2_M10	0.85
AARS2	P1_I2_M1	0.9
HIST1H1A	P1_I2_M1	0.99
ZNF391	P1_I2_M1	0.95
RPS10	P1_I2_M15	0.97
MOCS1	P1_I2_M11	0.85
HIST1H2BJ	P1_I2_M2	0.97
OR2B6	P1_I2_M1	0.99
TCP11	P1_I2_M2	0.93
APOBEC2	P1_I2_M8	0.98
GNMT	P1_I2_M6	0.92
DNAH8	P1_I2_M1	0.94
MEA1	P1_I2_M2	0.83
KLHL31	P1_I2_M8	0.9
CPNE5	P1_I2_M4	0.9
KCNK17	P1_I2_M1	0.96
NRN1	P1_I2_M4	0.91
RPP40	P1_I2_M1	0.91
EEF1E1	P1_I2_M2	0.81
CRISP1	P1_I2_M12	0.98
RUNX2	P1_I2_M1	0.87
OPN5	P1_I2_M1	0.99
GCM2	P1_I2_M7	0.94
EREG	P1_I2_M14	0.97
TRIM51	P1_I2_M1	0.99
SSUH2	P1_I2_M1	0.98
WNT1	P1_I2_M1	0.99
SH3TC1	P1_I2_M1	0.85
LRRC29	P1_I2_M1	0.99
PIWIL1	P1_I2_M1	0.99
CLYBL	P1_I2_M13	0.8
RAP2A	P1_I2_M4	0.86
SLC10A2	P1_I2_M10	0.87
C17orf53	P1_I2_M1	0.94
KIF25	P1_I2_M1	0.99
AMELX	P1_I2_M1	0.99
ATP5S	P1_I2_M1	0.95
GRK4	P1_I2_M2	0.99
TEKT3	P1_I2_M2	0.97
MYH2	P1_I2_M8	0.96
HS3ST3B1	P1_I2_M1	0.85
ARMC7	P1_I2_M1	0.86
C1orf61	P1_I2_M4	0.97
GTF3C4	P1_I2_M1	0.81
BARHL1	P1_I2_M1	0.99
KIR2DL1	P1_I2_M1	0.99
SRMS	P1_I2_M1	0.99
OPRL1	P1_I2_M1	0.94
NPBWR2	P1_I2_M1	0.99
FNDC11	P1_I2_M2	0.98
BHLHE23	P1_I2_M1	0.99
IL1B	P1_I2_M14	0.88
PLGLB2	P1_I2_M6	1.0
IL37	P1_I2_M9	0.97
PSPN	P1_I2_M1	0.99
ALKBH7	P1_I2_M2	0.86
TNFSF9	P1_I2_M1	0.99
GRIA3	P1_I2_M4	0.95
THOC2	P1_I2_M3	0.84
MED1	P1_I2_M7	0.84
RPL23	P1_I2_M15	0.97
CD70	P1_I2_M1	0.97
C3	P1_I2_M6	0.94
TNFSF14	P1_I2_M1	0.95
OPA3	P1_I2_M1	0.87
SNRPD2	P1_I2_M15	0.91
RTN2	P1_I2_M8	0.97
EML2	P1_I2_M7	0.87
SDCBP2	P1_I2_M10	0.83
TGM3	P1_I2_M17	0.99
GNRH2	P1_I2_M1	0.99
DEFB126	P1_I2_M12	0.99
CD93	P1_I2_M11	0.88
PAX1	P1_I2_M7	0.94
NAPB	P1_I2_M4	0.98
CST8	P1_I2_M1	0.88
NKX2-4	P1_I2_M1	0.99
NKX2-2	P1_I2_M1	0.95
DTD1	P1_I2_M3	0.8
CSTL1	P1_I2_M1	0.99
CST11	P1_I2_M12	0.99
NRSN2	P1_I2_M4	0.83
AP5S1	P1_I2_M1	0.92
OVOL2	P1_I2_M1	0.94
GFRA4	P1_I2_M1	0.99
BFSP1	P1_I2_M1	0.99
DSTN	P1_I2_M16	0.86
LAMP5	P1_I2_M4	0.83
LRRN4	P1_I2_M1	0.91
TBC1D20	P1_I2_M3	0.86
TCF15	P1_I2_M1	0.96
OTOR	P1_I2_M1	0.99
BANF2	P1_I2_M2	0.98
SIRPD	P1_I2_M2	0.99
DEFB129	P1_I2_M12	0.98
S1PR4	P1_I2_M5	0.86
CITED1	P1_I2_M12	0.98
HNRNPR	P1_I2_M3	0.88
ZNF436	P1_I2_M1	0.83
CHURC1-FNTB	P1_I2_M1	0.99
GDF5	P1_I2_M1	0.98
MMP24	P1_I2_M1	0.91
C20orf173	P1_I2_M2	0.93
FAM83C	P1_I2_M9	0.93
GRPR	P1_I2_M1	0.97
AMOT	P1_I2_M12	0.97
AGO3	P1_I2_M1	0.97
KLC1	P1_I2_M4	0.94
MCF2L	P1_I2_M4	0.81
SLURP1	P1_I2_M17	0.95
LRFN3	P1_I2_M1	0.96
IGFLR1	P1_I2_M5	0.97
PDCD2L	P1_I2_M1	0.92
GPR42	P1_I2_M1	0.99
KIRREL2	P1_I2_M1	0.91
FFAR1	P1_I2_M1	0.98
KRT36	P1_I2_M1	0.99
THRA	P1_I2_M4	0.85
CCR7	P1_I2_M5	0.89
PRR12	P1_I2_M1	0.82
TSKS	P1_I2_M2	0.99
FLRT1	P1_I2_M1	0.92
STATH	P1_I2_M25	1.0
HTN1	P1_I2_M25	1.0
GLIS2	P1_I2_M1	0.88
NSRP1	P1_I2_M3	0.96
IFI6	P1_I2_M11	0.88
DACH2	P1_I2_M1	0.93
ZNF384	P1_I2_M3	0.88
SSX1	P1_I2_M1	0.95
UXT	P1_I2_M15	0.86
PCNX4	P1_I2_M3	0.89
ATG14	P1_I2_M1	0.82
RHOJ	P1_I2_M16	0.82
PZP	P1_I2_M6	0.89
PRDM7	P1_I2_M1	0.99
OMG	P1_I2_M4	0.99
WDR60	P1_I2_M2	0.95
NUP214	P1_I2_M2	0.92
CTAG2	P1_I2_M1	0.97
AVPR2	P1_I2_M1	0.98
NXF5	P1_I2_M1	0.99
TIMM8A	P1_I2_M1	0.94
ZNF484	P1_I2_M1	0.98
FGD3	P1_I2_M5	0.94
HIVEP3	P1_I2_M1	0.98
EDN2	P1_I2_M1	0.8
HRASLS	P1_I2_M2	0.94
HELB	P1_I2_M1	0.98
IL22	P1_I2_M1	0.99
BEST3	P1_I2_M1	0.85
RAB3IP	P1_I2_M2	0.83
YEATS4	P1_I2_M2	0.89
TAS2R3	P1_I2_M1	0.99
TAS2R4	P1_I2_M1	0.99
TAS2R5	P1_I2_M1	0.98
TRPV5	P1_I2_M1	0.99
EMC1	P1_I2_M3	0.85
HP1BP3	P1_I2_M3	0.82
OR7A10	P1_I2_M1	0.99
OR7C2	P1_I2_M1	0.99
OR7C1	P1_I2_M1	0.98
F2RL3	P1_I2_M1	0.96
SYNGR3	P1_I2_M4	0.98
WFIKKN1	P1_I2_M1	0.99
WDR24	P1_I2_M1	0.93
FBXL16	P1_I2_M4	0.98
CHTF18	P1_I2_M1	0.98
GNG13	P1_I2_M1	0.99
METTL25	P1_I2_M1	0.95
IL17B	P1_I2_M1	0.98
OR1E2	P1_I2_M1	0.99
VIL1	P1_I2_M10	0.94
TNFRSF19	P1_I2_M9	0.86
ZNF835	P1_I2_M1	0.98
GNG11	P1_I2_M11	0.87
GNGT1	P1_I2_M1	0.98
MTERF1	P1_I2_M1	0.83
ZNF780B	P1_I2_M1	0.96
LRFN1	P1_I2_M1	0.98
SPINK2	P1_I2_M12	0.98
KDR	P1_I2_M11	0.84
PPAT	P1_I2_M1	0.88
DGCR8	P1_I2_M1	0.8
ASPHD2	P1_I2_M1	0.9
YWHAH	P1_I2_M4	0.93
RFPL2	P1_I2_M1	0.97
GNAZ	P1_I2_M4	0.86
RFPL3	P1_I2_M1	0.99
MCHR1	P1_I2_M1	0.97
BAIAP2L2	P1_I2_M10	0.98
MPST	P1_I2_M10	0.87
GALR3	P1_I2_M1	0.99
APOL5	P1_I2_M1	0.99
RAC2	P1_I2_M5	0.91
C22orf23	P1_I2_M2	0.94
APOBEC3A	P1_I2_M14	0.89
RIBC2	P1_I2_M2	0.92
CPA4	P1_I2_M9	0.99
TAS2R16	P1_I2_M1	0.99
CDHR3	P1_I2_M18	0.96
FOXP2	P1_I2_M1	0.81
FLNC	P1_I2_M8	0.86
LRRC4	P1_I2_M4	0.93
CALU	P1_I2_M16	0.85
CCDC136	P1_I2_M2	0.94
FEZF1	P1_I2_M1	0.99
OPN1SW	P1_I2_M1	0.94
MRPS12	P1_I2_M1	0.9
HOXD1	P1_I2_M1	0.93
HOXD3	P1_I2_M12	0.9
PDE11A	P1_I2_M1	0.92
CHN1	P1_I2_M4	0.95
GAD1	P1_I2_M4	0.98
OSGEPL1	P1_I2_M1	0.89
HOXD11	P1_I2_M1	0.98
HERC2	P1_I2_M1	0.93
TWSG1	P1_I2_M16	0.93
ARHGAP22	P1_I2_M1	0.97
WDFY4	P1_I2_M5	0.94
TMOD2	P1_I2_M4	0.99
TTBK2	P1_I2_M2	0.98
ELL3	P1_I2_M1	0.96
ICE2	P1_I2_M7	0.93
KNSTRN	P1_I2_M2	0.88
ARPP19	P1_I2_M4	0.91
CALML4	P1_I2_M10	0.88
THAP10	P1_I2_M1	0.95
COPB1	P1_I2_M3	0.81
PALLD	P1_I2_M16	0.92
BBOX1	P1_I2_M13	0.97
MYOD1	P1_I2_M1	0.94
KCNC1	P1_I2_M1	0.88
CSRP3	P1_I2_M19	0.99
E2F8	P1_I2_M1	0.87
SOX15	P1_I2_M9	0.89
FAM64A	P1_I2_M1	0.95
USP6	P1_I2_M1	0.9
AIPL1	P1_I2_M1	0.99
ATP1B2	P1_I2_M4	0.97
KIF1C	P1_I2_M8	0.81
PHF20L1	P1_I2_M3	0.82
LRRC6	P1_I2_M2	0.86
PUS7L	P1_I2_M1	0.94
CDKN2D	P1_I2_M14	0.93
KLK14	P1_I2_M1	0.94
KLK10	P1_I2_M17	0.94
KLK8	P1_I2_M9	0.87
NGDN	P1_I2_M3	0.88
AJUBA	P1_I2_M9	0.83
DTD2	P1_I2_M1	0.91
NRL	P1_I2_M1	0.99
QRICH2	P1_I2_M1	0.87
FOXJ1	P1_I2_M18	0.99
RHBDF2	P1_I2_M5	0.89
AANAT	P1_I2_M1	0.99
FGF13	P1_I2_M7	0.91
ASH2L	P1_I2_M3	0.86
TTI2	P1_I2_M1	0.83
CDKN1C	P1_I2_M11	0.95
VCY1B	P1_I2_M1	0.81
VCY	P1_I2_M1	0.81
CDY2B	P1_I2_M1	0.99
CDH15	P1_I2_M1	0.9
KLF16	P1_I2_M1	0.83
DOHH	P1_I2_M1	0.8
PLPPR3	P1_I2_M1	0.92
INS-IGF2	P1_I2_M1	0.98
LBP	P1_I2_M6	0.99
SYT5	P1_I2_M4	0.99
TNNI3	P1_I2_M19	0.94
CBFA2T3	P1_I2_M1	0.8
GAMT	P1_I2_M8	0.85
PRRG3	P1_I2_M1	0.93
KCNA5	P1_I2_M1	0.86
NXNL2	P1_I2_M1	0.96
FAM155B	P1_I2_M1	0.83
GNL3L	P1_I2_M1	0.81
TSPAN16	P1_I2_M2	0.97
ANGPTL8	P1_I2_M6	0.95
CDC16	P1_I2_M3	0.81
ZSCAN10	P1_I2_M1	0.99
APOC1	P1_I2_M6	0.97
LRCH2	P1_I2_M1	0.82
DPP6	P1_I2_M4	0.85
XPO7	P1_I2_M3	0.9
ACE2	P1_I2_M10	0.86
SAFB2	P1_I2_M3	0.84
RPL36	P1_I2_M15	0.81
GDF1	P1_I2_M1	0.94
NCAN	P1_I2_M4	0.98
KIF1A	P1_I2_M4	0.97
GTPBP3	P1_I2_M1	0.91
USHBP1	P1_I2_M1	0.96
DDA1	P1_I2_M1	0.91
TULP4	P1_I2_M1	0.92
RTN4IP1	P1_I2_M1	0.88
MAS1	P1_I2_M1	0.99
ACSBG2	P1_I2_M2	0.95
FUT5	P1_I2_M1	0.99
BMP15	P1_I2_M1	0.99
EPO	P1_I2_M1	0.98
ARPC1B	P1_I2_M5	0.85
UNC13A	P1_I2_M4	0.95
KLHDC7B	P1_I2_M1	0.92
PXDN	P1_I2_M16	0.83
KIAA1683	P1_I2_M2	0.93
HRC	P1_I2_M19	0.99
OR11H1	P1_I2_M1	0.99
SULT4A1	P1_I2_M4	0.99
ZNF557	P1_I2_M1	0.99
OLFM1	P1_I2_M4	0.96
SAG	P1_I2_M1	0.99
ZBTB46	P1_I2_M1	0.89
HELZ2	P1_I2_M1	0.84
SAMD10	P1_I2_M1	0.93
TNNT3	P1_I2_M8	0.96
TNNI2	P1_I2_M8	0.96
COL5A1	P1_I2_M16	0.8
ATXN10	P1_I2_M3	0.82
CALY	P1_I2_M4	0.96
CYP2E1	P1_I2_M6	0.99
HBZ	P1_I2_M1	0.99
MNX1	P1_I2_M1	0.92
ZNF337	P1_I2_M3	0.81
TAF4	P1_I2_M1	0.98
GATA5	P1_I2_M1	0.86
RBBP8NL	P1_I2_M1	0.96
PRDM12	P1_I2_M1	0.99
POMT1	P1_I2_M2	0.89
UCK1	P1_I2_M3	0.81
FIBCD1	P1_I2_M1	0.96
EIF2S3	P1_I2_M15	0.86
ZC3H4	P1_I2_M1	0.88
NPAS1	P1_I2_M1	0.98
GMFG	P1_I2_M5	0.85
ARHGEF16	P1_I2_M10	0.86
MED18	P1_I2_M1	0.86
CLIP1	P1_I2_M7	0.81
CCDC62	P1_I2_M2	0.98
ANGPTL6	P1_I2_M1	0.91
PLXNA3	P1_I2_M1	0.91
DUSP9	P1_I2_M11	0.94
ZNF331	P1_I2_M20	0.9
ZNF236	P1_I2_M1	0.95
SLC7A10	P1_I2_M1	0.98
PKDREJ	P1_I2_M1	0.99
HSD17B3	P1_I2_M2	0.99
NUTM2F	P1_I2_M1	0.99
FBP2	P1_I2_M8	0.96
POLN	P1_I2_M1	0.99
PPIL4	P1_I2_M3	0.88
ULBP2	P1_I2_M1	0.98
ULBP3	P1_I2_M1	0.94
AAR2	P1_I2_M3	0.89
TTLL9	P1_I2_M1	0.97
BPIFA2	P1_I2_M25	1.0
COX4I2	P1_I2_M11	0.97
BPIFA3	P1_I2_M2	0.98
ZNF341	P1_I2_M1	1.0
DEFB118	P1_I2_M12	0.98
EDA2R	P1_I2_M1	0.85
ARHGEF9	P1_I2_M4	0.95
GFAP	P1_I2_M4	0.95
PYY	P1_I2_M21	0.9
HIGD1B	P1_I2_M11	0.96
ZNF428	P1_I2_M4	0.83
TEX101	P1_I2_M2	0.97
CCL25	P1_I2_M10	0.94
EMC8	P1_I2_M1	0.82
GSE1	P1_I2_M7	0.88
RP11-178L8.4	P1_I2_M1	0.99
GINS2	P1_I2_M1	0.85
SH3BGRL	P1_I2_M16	0.85
SLC34A1	P1_I2_M13	0.99
F12	P1_I2_M6	0.99
PRR7	P1_I2_M1	0.96
IDO1	P1_I2_M11	0.87
GJA9	P1_I2_M1	0.99
CDX4	P1_I2_M1	0.99
HAUS8	P1_I2_M1	0.84
ADGRE3	P1_I2_M1	0.92
TBC1D5	P1_I2_M3	0.92
CAPN7	P1_I2_M3	0.88
C3orf20	P1_I2_M1	0.97
NAPSA	P1_I2_M23	0.98
LRRC4B	P1_I2_M4	0.96
PDLIM4	P1_I2_M16	0.84
TUBG1	P1_I2_M2	0.92
PSME3	P1_I2_M3	0.81
RPL27	P1_I2_M15	0.91
AOC2	P1_I2_M1	0.99
G6PC	P1_I2_M6	0.87
ANKHD1	P1_I2_M3	0.8
EXOC4	P1_I2_M3	0.88
C1orf159	P1_I2_M1	0.88
KREMEN2	P1_I2_M1	0.97
BARX1	P1_I2_M1	0.93
CA6	P1_I2_M25	1.0
NPHP4	P1_I2_M1	0.93
MAP1B	P1_I2_M4	0.96
RHOXF2	P1_I2_M1	0.88
CKMT2	P1_I2_M19	0.95
KRT34	P1_I2_M1	0.98
KRT33B	P1_I2_M1	0.99
TNS4	P1_I2_M9	0.82
KHDRBS3	P1_I2_M2	0.9
PEX11B	P1_I2_M3	0.87
FMO5	P1_I2_M6	0.93
FSHB	P1_I2_M1	0.99
ZNF304	P1_I2_M1	0.84
ZSCAN5A	P1_I2_M2	0.93
ZNF132	P1_I2_M1	0.93
USP29	P1_I2_M1	0.98
LLGL1	P1_I2_M1	0.84
LIN28A	P1_I2_M1	0.99
THAP1	P1_I2_M1	0.85
FAAP24	P1_I2_M1	0.96
LRRC9	P1_I2_M1	0.97
ACTR10	P1_I2_M1	0.9
ABHD12B	P1_I2_M1	0.88
PODNL1	P1_I2_M1	0.91
ZSWIM4	P1_I2_M1	0.96
FBXW9	P1_I2_M1	0.83
RFX1	P1_I2_M1	0.91
ZNF20	P1_I2_M1	0.96
C19orf57	P1_I2_M1	0.82
RTBDN	P1_I2_M1	0.91
SPATA6	P1_I2_M2	0.96
LRRC41	P1_I2_M3	0.84
CCT6B	P1_I2_M2	0.96
DHX30	P1_I2_M3	0.87
SLC6A11	P1_I2_M1	0.86
NUP210	P1_I2_M5	0.92
EMILIN2	P1_I2_M7	0.94
SLX1A	P1_I2_M10	0.87
RRP8	P1_I2_M1	0.85
TIMM10B	P1_I2_M3	0.9
EFR3A	P1_I2_M3	0.83
HHLA1	P1_I2_M1	0.99
ILKAP	P1_I2_M3	0.83
SCLY	P1_I2_M1	0.91
RPA1	P1_I2_M3	0.8
EEFSEC	P1_I2_M1	0.8
TMEM128	P1_I2_M3	0.85
POPDC3	P1_I2_M8	0.87
LANCL2	P1_I2_M4	0.87
FTHL17	P1_I2_M1	0.99
ENAM	P1_I2_M1	0.94
ANKRD17	P1_I2_M3	0.89
WBP2	P1_I2_M4	0.84
GUCY2D	P1_I2_M1	0.99
DLG4	P1_I2_M4	0.98
RIDA	P1_I2_M6	0.86
VPS13B	P1_I2_M1	0.86
RGS22	P1_I2_M2	0.98
REEP2	P1_I2_M4	0.98
ERAL1	P1_I2_M3	0.86
MTSS1L	P1_I2_M4	0.9
ANKEF1	P1_I2_M2	0.9
SCP2D1	P1_I2_M2	0.99
PCED1A	P1_I2_M3	0.81
SNAP25	P1_I2_M4	0.96
POLR3F	P1_I2_M1	0.92
PTPRA	P1_I2_M3	0.83
SSTR4	P1_I2_M1	0.99
RHBG	P1_I2_M1	0.98
ATP1A4	P1_I2_M1	0.85
BCAN	P1_I2_M4	0.97
CRP	P1_I2_M6	0.95
APCS	P1_I2_M6	0.99
FCRL2	P1_I2_M5	0.92
SYT11	P1_I2_M4	0.97
ACY3	P1_I2_M10	0.9
TESMIN	P1_I2_M2	0.99
MMACHC	P1_I2_M1	0.94
DPH2	P1_I2_M1	0.83
TOE1	P1_I2_M1	0.96
MUTYH	P1_I2_M1	0.9
ZSWIM3	P1_I2_M1	0.99
PPP1R3D	P1_I2_M1	0.92
DMGDH	P1_I2_M13	0.84
BHMT2	P1_I2_M13	0.88
ANGPTL3	P1_I2_M6	0.99
SYT4	P1_I2_M4	0.97
SLC14A2	P1_I2_M1	0.98
FBXO44	P1_I2_M4	0.85
RSG1	P1_I2_M1	0.92
NMUR2	P1_I2_M1	0.99
ZMYM5	P1_I2_M2	0.92
USPL1	P1_I2_M2	0.82
XPO4	P1_I2_M1	0.86
TPTE2	P1_I2_M1	0.96
CDK8	P1_I2_M1	0.87
WASF3	P1_I2_M4	0.93
RNF17	P1_I2_M2	0.96
GPR12	P1_I2_M1	0.97
CHRM3	P1_I2_M1	0.86
PEMT	P1_I2_M12	0.92
MYBPH	P1_I2_M1	0.94
LGR6	P1_I2_M1	0.87
TMCC2	P1_I2_M14	0.91
DCLK1	P1_I2_M4	0.97
CCNA1	P1_I2_M2	0.91
RXFP2	P1_I2_M1	0.99
EPSTI1	P1_I2_M5	0.81
RFXAP	P1_I2_M1	0.88
GPALPP1	P1_I2_M1	0.82
KL	P1_I2_M7	0.89
IRS4	P1_I2_M1	0.98
MORC4	P1_I2_M11	0.9
BEX1	P1_I2_M4	0.92
FAM104A	P1_I2_M2	0.94
PRAM1	P1_I2_M14	0.97
KMT5C	P1_I2_M1	0.98
ZNF414	P1_I2_M1	0.87
SLF1	P1_I2_M1	0.96
MACROD1	P1_I2_M8	0.97
WDR74	P1_I2_M14	0.82
RTN3	P1_I2_M4	0.91
HRASLS2	P1_I2_M10	0.95
MORC2	P1_I2_M2	0.89
SLC2A11	P1_I2_M1	0.93
GGT2	P1_I2_M1	0.99
GIMAP4	P1_I2_M5	0.86
AGAP3	P1_I2_M4	0.82
KRBA1	P1_I2_M1	0.87
ACTR3B	P1_I2_M4	0.9
SFTPD	P1_I2_M23	0.99
DYDC2	P1_I2_M18	0.98
IPO8	P1_I2_M7	0.93
LARS	P1_I2_M3	0.88
SPINK5	P1_I2_M17	0.97
LRRCC1	P1_I2_M2	0.97
LYVE1	P1_I2_M11	0.84
SBF2	P1_I2_M3	0.85
TEX15	P1_I2_M1	0.82
DUSP26	P1_I2_M8	0.92
DPF2	P1_I2_M3	0.81
GSC	P1_I2_M1	0.99
UNC79	P1_I2_M1	0.99
CATSPERB	P1_I2_M1	0.99
VRTN	P1_I2_M1	0.99
TTC9	P1_I2_M17	0.82
ADAM20	P1_I2_M1	0.98
PEBP4	P1_I2_M12	0.81
MRO	P1_I2_M2	0.84
CD180	P1_I2_M5	0.88
IRAK2	P1_I2_M1	0.81
THUMPD3	P1_I2_M2	0.9
CNTN6	P1_I2_M1	0.87
CHL1	P1_I2_M4	0.96
TRPM1	P1_I2_M1	0.98
GNAT2	P1_I2_M1	0.99
REG4	P1_I2_M10	0.84
TSHB	P1_I2_M1	0.99
SYT6	P1_I2_M1	0.98
HMGCS2	P1_I2_M6	0.91
PTPN22	P1_I2_M5	0.86
PTGFRN	P1_I2_M16	0.83
ADAM30	P1_I2_M2	0.97
CD101	P1_I2_M1	0.92
NGF	P1_I2_M1	0.91
NAPG	P1_I2_M4	0.85
ARF3	P1_I2_M4	0.82
KIDINS220	P1_I2_M7	0.85
MYCN	P1_I2_M1	0.89
LPIN1	P1_I2_M2	0.87
CMPK2	P1_I2_M1	0.95
ANO3	P1_I2_M12	0.95
IL6ST	P1_I2_M11	0.82
CFHR4	P1_I2_M6	0.97
CDC73	P1_I2_M3	0.87
CRB1	P1_I2_M1	0.94
CFHR5	P1_I2_M6	0.98
RPS15A	P1_I2_M15	0.9
RAX	P1_I2_M1	0.99
GRP	P1_I2_M1	0.89
FBXO18	P1_I2_M3	0.84
ANKRD16	P1_I2_M1	0.93
CCNH	P1_I2_M2	0.83
HRH4	P1_I2_M1	0.99
TMEM241	P1_I2_M1	0.98
CABLES1	P1_I2_M7	0.83
DOCK2	P1_I2_M5	0.97
EMP1	P1_I2_M17	0.96
SOX5	P1_I2_M2	0.96
SLCO1B1	P1_I2_M6	1.0
KLRD1	P1_I2_M1	0.84
KLRC1	P1_I2_M1	0.93
SPX	P1_I2_M1	0.89
PRH2	P1_I2_M25	1.0
MYBPC3	P1_I2_M19	0.94
DDB2	P1_I2_M9	0.82
USP26	P1_I2_M1	0.99
SOX3	P1_I2_M1	0.91
MTNR1B	P1_I2_M1	0.99
PUM1	P1_I2_M3	0.9
SPOCD1	P1_I2_M1	0.9
BTF3L4	P1_I2_M3	0.83
ZCCHC11	P1_I2_M3	0.85
DSC2	P1_I2_M17	0.85
DSG3	P1_I2_M17	1.0
RNF138	P1_I2_M2	0.9
DSG1	P1_I2_M9	0.95
DSC3	P1_I2_M9	0.96
DSC1	P1_I2_M9	0.96
DTNA	P1_I2_M4	0.82
TPGS2	P1_I2_M2	0.86
DAGLA	P1_I2_M1	0.88
GIF	P1_I2_M22	0.99
DHX34	P1_I2_M1	0.86
TMEM258	P1_I2_M12	0.8
C5AR2	P1_I2_M1	0.94
GGACT	P1_I2_M13	0.98
COL4A2	P1_I2_M11	0.89
STT3A	P1_I2_M7	0.95
ACRV1	P1_I2_M2	0.97
ETS1	P1_I2_M5	0.89
KLB	P1_I2_M1	0.94
APC	P1_I2_M4	0.96
NAA35	P1_I2_M3	0.85
C9orf40	P1_I2_M1	0.86
ANXA1	P1_I2_M17	0.96
CTSL	P1_I2_M11	0.91
ADAM19	P1_I2_M5	0.86
CCNJL	P1_I2_M1	0.83
SDS	P1_I2_M6	0.99
MSI1	P1_I2_M1	0.83
HRK	P1_I2_M1	0.92
RNFT2	P1_I2_M1	0.92
DTX1	P1_I2_M1	0.84
OCM2	P1_I2_M1	0.99
TMEM60	P1_I2_M3	0.85
UGT2A3	P1_I2_M10	0.91
HILPDA	P1_I2_M17	0.87
FAM71F1	P1_I2_M2	0.99
RINT1	P1_I2_M1	0.82
SRPK2	P1_I2_M2	0.85
KCP	P1_I2_M1	0.98
ADGRB3	P1_I2_M4	0.96
HTR1B	P1_I2_M1	0.94
KHDC1	P1_I2_M1	0.96
CEP162	P1_I2_M1	0.92
EPHA7	P1_I2_M7	0.95
ORC3	P1_I2_M3	0.88
LCA5	P1_I2_M7	0.91
MAP3K7	P1_I2_M3	0.9
CGA	P1_I2_M11	0.98
GJA10	P1_I2_M1	0.99
NAT10	P1_I2_M3	0.88
DNAJC14	P1_I2_M3	0.95
AVIL	P1_I2_M1	0.95
LACRT	P1_I2_M1	0.97
GDF11	P1_I2_M1	0.83
GLS2	P1_I2_M6	0.96
FAM186B	P1_I2_M2	0.99
AGAP2	P1_I2_M4	0.97
KRT85	P1_I2_M1	0.99
PPP1R1A	P1_I2_M8	0.94
TFCP2	P1_I2_M3	0.88
COQ10A	P1_I2_M8	0.87
FAIM2	P1_I2_M4	0.97
ZC3H10	P1_I2_M1	0.98
HNRNPA1	P1_I2_M15	0.88
SLC26A10	P1_I2_M1	0.99
MIP	P1_I2_M1	0.99
KCNH3	P1_I2_M1	0.8
LACE1	P1_I2_M1	0.91
TAAR5	P1_I2_M1	0.99
NMBR	P1_I2_M1	0.99
STX11	P1_I2_M14	0.96
TEC	P1_I2_M1	0.97
SEMA4F	P1_I2_M1	0.91
EGR4	P1_I2_M1	0.96
RAB11FIP5	P1_I2_M2	0.93
SMYD5	P1_I2_M3	0.85
CCDC142	P1_I2_M1	0.98
EMX1	P1_I2_M1	0.87
KLHL36	P1_I2_M1	0.84
BCO1	P1_I2_M1	0.85
CHST5	P1_I2_M10	0.92
KIAA0513	P1_I2_M4	0.98
CCDC102A	P1_I2_M1	0.96
SLC9A5	P1_I2_M1	0.97
AGT	P1_I2_M6	0.92
PCNX2	P1_I2_M1	0.91
URB2	P1_I2_M1	0.97
CAPN9	P1_I2_M22	0.86
COG2	P1_I2_M7	0.95
NTPCR	P1_I2_M1	0.92
RGS8	P1_I2_M1	0.94
DHX9	P1_I2_M3	0.85
KIAA1614	P1_I2_M1	0.94
LAMC1	P1_I2_M11	0.89
RC3H1	P1_I2_M1	0.92
GPR55	P1_I2_M1	0.95
SP110	P1_I2_M5	0.95
CHRND	P1_I2_M1	0.93
PAX3	P1_I2_M1	0.99
TTLL4	P1_I2_M2	0.95
USP37	P1_I2_M1	0.84
SERPINE2	P1_I2_M11	0.96
WNT10A	P1_I2_M1	0.95
CYP27A1	P1_I2_M6	0.89
TSGA10	P1_I2_M2	0.98
MFSD9	P1_I2_M1	0.9
EDAR	P1_I2_M1	0.98
GPR45	P1_I2_M1	0.99
ANKRD36	P1_I2_M1	0.91
ALDH1L2	P1_I2_M1	0.89
USP44	P1_I2_M2	0.96
PWP1	P1_I2_M3	0.94
DRAM1	P1_I2_M23	0.96
PCDH8	P1_I2_M1	0.98
CNMD	P1_I2_M1	0.98
BORA	P1_I2_M1	0.89
EDNRB	P1_I2_M11	0.83
C7orf25	P1_I2_M1	0.97
SPDYE1	P1_I2_M1	0.98
CHST12	P1_I2_M1	0.87
RAPGEF5	P1_I2_M7	0.94
NUPL2	P1_I2_M3	0.87
AOAH	P1_I2_M5	0.86
DDX56	P1_I2_M1	0.98
HUS1	P1_I2_M1	0.9
NACAD	P1_I2_M4	0.95
MYO1G	P1_I2_M5	0.91
TTC5	P1_I2_M1	0.93
NKX2-8	P1_I2_M1	0.99
ZFHX2	P1_I2_M1	0.95
MTHFS	P1_I2_M6	0.81
ADAMTS7	P1_I2_M1	0.96
ABHD17C	P1_I2_M21	0.82
IREB2	P1_I2_M3	0.86
TM6SF1	P1_I2_M1	0.83
NMT1	P1_I2_M3	0.87
MYCBPAP	P1_I2_M2	0.99
